"","X","C","N","norm","boottype","CI","f1cov","f2cov","vcov","mcov","converged_reps","Coverage","nonconverge_prop","mincov","maxcov"
"1","outpar_norm",100,"25","nonnormal","parametric","norm",0.886,0.894,0.802,0.69,500,0.818,0,0.69,0.894
"2","outres_norm",100,"25","nonnormal","residual","norm",0.914,0.896,0.882,0.824,500,0.879,0,0.824,0.914
"3","outpar_perc",100,"25","nonnormal","parametric","perc",0.896,0.906,0.798,0.718,500,0.8295,0,0.718,0.906
"4","outres_perc",100,"25","nonnormal","residual","perc",0.926,0.906,0.898,0.846,500,0.894,0,0.846,0.926
"5","outpar_basic",100,"25","nonnormal","parametric","basic",0.884,0.886,0.802,0.684,500,0.814,0,0.684,0.886
"6","outres_basic",100,"25","nonnormal","residual","basic",0.906,0.884,0.874,0.818,500,0.8705,0,0.818,0.906
"7","outpar_norm",100,"25","normal","parametric","norm",0.928,0.894,0.924,0.938,500,0.921,0,0.894,0.938
"8","outres_norm",100,"25","normal","residual","norm",0.932,0.888,0.928,0.922,500,0.9175,0,0.888,0.932
"9","outpar_perc",100,"25","normal","parametric","perc",0.94,0.924,0.93,0.94,500,0.9335,0,0.924,0.94
"10","outres_perc",100,"25","normal","residual","perc",0.938,0.916,0.926,0.944,500,0.931,0,0.916,0.944
"11","outpar_basic",100,"25","normal","parametric","basic",0.924,0.882,0.926,0.934,500,0.9165,0,0.882,0.934
"12","outres_basic",100,"25","normal","residual","basic",0.932,0.88,0.926,0.922,500,0.915,0,0.88,0.932
"13","outpar_norm",100,"6","nonnormal","parametric","norm",0.888,0.858,0.82,0.764,500,0.8325,0,0.764,0.888
"14","outres_norm",100,"6","nonnormal","residual","norm",0.89,0.874,0.84,0.842,500,0.8615,0,0.84,0.89
"15","outpar_perc",100,"6","nonnormal","parametric","perc",0.902,0.88,0.89,0.786,500,0.8645,0,0.786,0.902
"16","outres_perc",100,"6","nonnormal","residual","perc",0.902,0.882,0.874,0.87,500,0.882,0,0.87,0.902
"17","outpar_basic",100,"6","nonnormal","parametric","basic",0.882,0.85,0.8,0.754,500,0.8215,0,0.754,0.882
"18","outres_basic",100,"6","nonnormal","residual","basic",0.89,0.858,0.834,0.838,500,0.855,0,0.834,0.89
"19","outpar_norm",100,"6","normal","parametric","norm",0.916,0.896,0.912,0.93,500,0.9135,0,0.896,0.93
"20","outres_norm",100,"6","normal","residual","norm",0.914,0.904,0.914,0.926,500,0.9145,0,0.904,0.926
"21","outpar_perc",100,"6","normal","parametric","perc",0.932,0.914,0.964,0.938,500,0.937,0,0.914,0.964
"22","outres_perc",100,"6","normal","residual","perc",0.918,0.92,0.92,0.944,500,0.9255,0,0.918,0.944
"23","outpar_basic",100,"6","normal","parametric","basic",0.92,0.894,0.894,0.922,500,0.9075,0,0.894,0.922
"24","outres_basic",100,"6","normal","residual","basic",0.918,0.894,0.912,0.924,500,0.912,0,0.894,0.924
"25","outpar_norm",100,"70","nonnormal","parametric","norm",0.905,0.89,0.755,0.715,200,0.81625,0,0.715,0.905
"26","outres_norm",100,"70","nonnormal","residual","norm",0.925,0.89,0.89,0.855,200,0.89,0,0.855,0.925
"27","outpar_perc",100,"70","nonnormal","parametric","perc",0.915,0.925,0.775,0.72,200,0.83375,0,0.72,0.925
"28","outres_perc",100,"70","nonnormal","residual","perc",0.915,0.925,0.905,0.865,200,0.9025,0,0.865,0.925
"29","outpar_basic",100,"70","nonnormal","parametric","basic",0.91,0.86,0.78,0.705,200,0.81375,0,0.705,0.91
"30","outres_basic",100,"70","nonnormal","residual","basic",0.935,0.88,0.88,0.83,200,0.88125,0,0.83,0.935
"31","outpar_norm",100,"70","normal","parametric","norm",0.915,0.82,0.905,0.95,200,0.8975,0,0.82,0.95
"32","outres_norm",100,"70","normal","residual","norm",0.91,0.835,0.91,0.96,200,0.90375,0,0.835,0.96
"33","outpar_perc",100,"70","normal","parametric","perc",0.92,0.85,0.91,0.95,200,0.9075,0,0.85,0.95
"34","outres_perc",100,"70","normal","residual","perc",0.925,0.865,0.91,0.945,200,0.91125,0,0.865,0.945
"35","outpar_basic",100,"70","normal","parametric","basic",0.92,0.82,0.895,0.94,200,0.89375,0,0.82,0.94
"36","outres_basic",100,"70","normal","residual","basic",0.91,0.82,0.9,0.95,200,0.895,0,0.82,0.95
"37","outpar_norm",200,"25","nonnormal","parametric","norm",0.865,0.87,0.785,0.675,200,0.79875,0,0.675,0.87
"38","outres_norm",200,"25","nonnormal","residual","norm",0.895,0.88,0.865,0.86,200,0.875,0,0.86,0.895
"39","outpar_perc",200,"25","nonnormal","parametric","perc",0.88,0.885,0.795,0.68,200,0.81,0,0.68,0.885
"40","outres_perc",200,"25","nonnormal","residual","perc",0.895,0.91,0.885,0.865,200,0.88875,0,0.865,0.91
"41","outpar_basic",200,"25","nonnormal","parametric","basic",0.855,0.86,0.79,0.685,200,0.7975,0,0.685,0.86
"42","outres_basic",200,"25","nonnormal","residual","basic",0.89,0.87,0.875,0.855,200,0.8725,0,0.855,0.89
"43","outpar_norm",200,"25","normal","parametric","norm",0.925,0.905,0.96,0.95,200,0.935,0,0.905,0.96
"44","outres_norm",200,"25","normal","residual","norm",0.92,0.9,0.97,0.945,200,0.93375,0,0.9,0.97
"45","outpar_perc",200,"25","normal","parametric","perc",0.935,0.925,0.965,0.955,200,0.945,0,0.925,0.965
"46","outres_perc",200,"25","normal","residual","perc",0.915,0.93,0.975,0.955,200,0.94375,0,0.915,0.975
"47","outpar_basic",200,"25","normal","parametric","basic",0.925,0.905,0.965,0.94,200,0.93375,0,0.905,0.965
"48","outres_basic",200,"25","normal","residual","basic",0.92,0.9,0.97,0.935,200,0.93125,0,0.9,0.97
"49","outpar_norm",200,"6","nonnormal","parametric","norm",0.894,0.904,0.84,0.748,500,0.8465,0,0.748,0.904
"50","outres_norm",200,"6","nonnormal","residual","norm",0.908,0.906,0.906,0.846,500,0.8915,0,0.846,0.908
"51","outpar_perc",200,"6","nonnormal","parametric","perc",0.9,0.91,0.91,0.77,500,0.8725,0,0.77,0.91
"52","outres_perc",200,"6","nonnormal","residual","perc",0.916,0.92,0.926,0.862,500,0.906,0,0.862,0.926
"53","outpar_basic",200,"6","nonnormal","parametric","basic",0.882,0.9,0.834,0.754,500,0.8425,0,0.754,0.9
"54","outres_basic",200,"6","nonnormal","residual","basic",0.906,0.908,0.882,0.846,500,0.8855,0,0.846,0.908
"55","outpar_norm",200,"6","normal","parametric","norm",0.902,0.902,0.908,0.916,500,0.907,0,0.902,0.916
"56","outres_norm",200,"6","normal","residual","norm",0.902,0.904,0.914,0.898,500,0.9045,0,0.898,0.914
"57","outpar_perc",200,"6","normal","parametric","perc",0.912,0.914,0.954,0.926,500,0.9265,0,0.912,0.954
"58","outres_perc",200,"6","normal","residual","perc",0.892,0.904,0.936,0.912,500,0.911,0,0.892,0.936
"59","outpar_basic",200,"6","normal","parametric","basic",0.896,0.894,0.9,0.904,500,0.8985,0,0.894,0.904
"60","outres_basic",200,"6","normal","residual","basic",0.902,0.892,0.9,0.904,500,0.8995,0,0.892,0.904
"61","outpar_norm",200,"70","nonnormal","parametric","norm",0.905,0.9,0.76,0.725,200,0.8225,0,0.725,0.905
"62","outres_norm",200,"70","nonnormal","residual","norm",0.93,0.895,0.91,0.89,200,0.90625,0,0.89,0.93
"63","outpar_perc",200,"70","nonnormal","parametric","perc",0.895,0.92,0.775,0.745,200,0.83375,0,0.745,0.92
"64","outres_perc",200,"70","nonnormal","residual","perc",0.92,0.915,0.925,0.895,200,0.91375,0,0.895,0.925
"65","outpar_basic",200,"70","nonnormal","parametric","basic",0.895,0.89,0.76,0.725,200,0.8175,0,0.725,0.895
"66","outres_basic",200,"70","nonnormal","residual","basic",0.94,0.9,0.91,0.895,200,0.91125,0,0.895,0.94
"67","outpar_norm",200,"70","normal","parametric","norm",0.93,0.865,0.955,0.935,200,0.92125,0,0.865,0.955
"68","outres_norm",200,"70","normal","residual","norm",0.925,0.875,0.955,0.93,200,0.92125,0,0.875,0.955
"69","outpar_perc",200,"70","normal","parametric","perc",0.935,0.875,0.955,0.92,200,0.92125,0,0.875,0.955
"70","outres_perc",200,"70","normal","residual","perc",0.93,0.89,0.95,0.91,200,0.92,0,0.89,0.95
"71","outpar_basic",200,"70","normal","parametric","basic",0.93,0.865,0.95,0.925,200,0.9175,0,0.865,0.95
"72","outres_basic",200,"70","normal","residual","basic",0.92,0.87,0.95,0.92,200,0.915,0,0.87,0.95
"73","outpar_norm",30,"25","nonnormal","parametric","norm",0.892,0.84,0.788,0.674,500,0.7985,0,0.674,0.892
"74","outres_norm",30,"25","nonnormal","residual","norm",0.9,0.836,0.83,0.74,500,0.8265,0,0.74,0.9
"75","outpar_perc",30,"25","nonnormal","parametric","perc",0.902,0.878,0.824,0.714,500,0.8295,0,0.714,0.902
"76","outres_perc",30,"25","nonnormal","residual","perc",0.922,0.88,0.838,0.774,500,0.8535,0,0.774,0.922
"77","outpar_basic",30,"25","nonnormal","parametric","basic",0.888,0.8,0.76,0.652,500,0.775,0,0.652,0.888
"78","outres_basic",30,"25","nonnormal","residual","basic",0.89,0.8,0.804,0.704,500,0.7995,0,0.704,0.89
"79","outpar_norm",30,"25","normal","parametric","norm",0.896,0.846,0.908,0.878,500,0.882,0,0.846,0.908
"80","outres_norm",30,"25","normal","residual","norm",0.9,0.846,0.902,0.87,500,0.8795,0,0.846,0.902
"81","outpar_perc",30,"25","normal","parametric","perc",0.926,0.872,0.936,0.89,500,0.906,0,0.872,0.936
"82","outres_perc",30,"25","normal","residual","perc",0.928,0.876,0.918,0.874,500,0.899,0,0.874,0.928
"83","outpar_basic",30,"25","normal","parametric","basic",0.892,0.816,0.892,0.858,500,0.8645,0,0.816,0.892
"84","outres_basic",30,"25","normal","residual","basic",0.886,0.816,0.9,0.85,500,0.863,0,0.816,0.9
"85","outpar_norm",30,"6","nonnormal","parametric","norm",0.89,0.858,0.858,0.74,500,0.8365,0,0.74,0.89
"86","outres_norm",30,"6","nonnormal","residual","norm",0.906,0.872,0.788,0.768,500,0.8335,0,0.768,0.906
"87","outpar_perc",30,"6","nonnormal","parametric","perc",0.916,0.914,0.866,0.808,500,0.876,0,0.808,0.916
"88","outres_perc",30,"6","nonnormal","residual","perc",0.902,0.904,0.944,0.842,500,0.898,0,0.842,0.944
"89","outpar_basic",30,"6","nonnormal","parametric","basic",0.88,0.802,0.822,0.716,500,0.805,0,0.716,0.88
"90","outres_basic",30,"6","nonnormal","residual","basic",0.88,0.814,0.768,0.732,500,0.7985,0,0.732,0.88
"91","outpar_norm",30,"6","normal","parametric","norm",0.9,0.856,0.894,0.898,500,0.887,0,0.856,0.9
"92","outres_norm",30,"6","normal","residual","norm",0.89,0.852,0.848,0.896,500,0.8715,0,0.848,0.896
"93","outpar_perc",30,"6","normal","parametric","perc",0.92,0.924,0.916,0.942,500,0.9255,0,0.916,0.942
"94","outres_perc",30,"6","normal","residual","perc",0.918,0.908,0.936,0.918,500,0.92,0,0.908,0.936
"95","outpar_basic",30,"6","normal","parametric","basic",0.878,0.826,0.858,0.884,500,0.8615,0,0.826,0.884
"96","outres_basic",30,"6","normal","residual","basic",0.876,0.828,0.832,0.882,500,0.8545,0,0.828,0.882
"97","outpar_norm",30,"70","nonnormal","parametric","norm",0.906,0.834,0.772,0.672,500,0.796,0,0.672,0.906
"98","outres_norm",30,"70","nonnormal","residual","norm",0.9,0.852,0.838,0.728,500,0.8295,0,0.728,0.9
"99","outpar_perc",30,"70","nonnormal","parametric","perc",0.928,0.884,0.782,0.712,500,0.8265,0,0.712,0.928
"100","outres_perc",30,"70","nonnormal","residual","perc",0.914,0.892,0.864,0.762,500,0.858,0,0.762,0.914
"101","outpar_basic",30,"70","nonnormal","parametric","basic",0.908,0.798,0.76,0.666,500,0.783,0,0.666,0.908
"102","outres_basic",30,"70","nonnormal","residual","basic",0.898,0.798,0.81,0.712,500,0.8045,0,0.712,0.898
"103","outpar_norm",30,"70","normal","parametric","norm",0.932,0.854,0.934,0.906,500,0.9065,0,0.854,0.934
"104","outres_norm",30,"70","normal","residual","norm",0.932,0.856,0.914,0.88,500,0.8955,0,0.856,0.932
"105","outpar_perc",30,"70","normal","parametric","perc",0.942,0.896,0.946,0.914,500,0.9245,0,0.896,0.946
"106","outres_perc",30,"70","normal","residual","perc",0.936,0.896,0.924,0.886,500,0.9105,0,0.886,0.936
"107","outpar_basic",30,"70","normal","parametric","basic",0.926,0.814,0.912,0.882,500,0.8835,0,0.814,0.926
"108","outres_basic",30,"70","normal","residual","basic",0.934,0.812,0.898,0.87,500,0.8785,0,0.812,0.934
